Название книги,Автор,Издательство,Цена со скидкой,Цена без скидки,Процент скидки,Наличие на складе
,,,0,Нет старого прайса,Нет скидки,
Проектирование информационных систем. Основы управления проектами. Лабораторный практикум,"Баллод Борис Анатольевич, Гвоздева Татьяна Вадимовна",Лань.Компьютеры и программное обеспечение,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Создание игровой логики. Практикум,"Капанов Алексей Александрович, Лямин Александр Сергеевич",Лань.Компьютеры и программное обеспечение,549,845,35,Ограничено
Компьютерное моделирование химико-технологических процессов в программе Aspen Plus,"Перерва Олег Валентинович, Гартман Томаш Николаевич",Лань.Компьютеры и программное обеспечение,3332,5126,35,Ограничено
Создание игровой логики. Практикум,"Капанов Алексей Александрович, Лямин Александр Сергеевич",Лань.Компьютеры и программное обеспечение,845,Нет старого прайса,Нет скидки,Ожидается
Компьютерная геометрия и графика в web-разработке. Учебное пособие,Васильев Николай Павлович,Лань.Компьютеры и программное обеспечение,1606,2471,35,Ограничено
Разработка защищенных программных средств информатизации производственных процессов предприятия,"Бабушкин Виталий Михайлович, Тумбинская Марина Владимировна",Инфра-Инженерия,1479,2276,35,На складе
Современный подход к программной архитектуре. Сложные компромиссы,Ричардс Марк и др.,Питер.Для профессионалов,3957,5073,22,На складе
OpenSSL 3. Ключ к тайнам криптографии,Хлебников Алексей,ДМК-Пресс,2722,4187,35,На складе
Julia в качестве второго языка,Энгхейм Эрик,ДМК-Пресс,3449,5306,35,На складе
Защита и укрепление Linux,Треволт Дональд А.,ДМК-Пресс,3629,5583,35,На складе
Математика на Python. Учебник,"Криволапов Сергей Яковлевич, Хрипунова Марина Борисовна",Кнорус.Бакалавриат и магистратура,2846,Нет старого прайса,Нет скидки,Ожидается
JavaScript. Рецепты для разработчиков,Скотт Адам Д. и др.,Питер.Бестселлеры O`Reilly,2539,3255,22,На складе
Искусство чистого кода. Как избавиться от сложности и упростить жизнь,Майер Кристиан,Питер.Библиотека программиста,1412,1810,22,На складе
Микросервисы. От архитектуры до релиза,"Митра Ронни, Надареишвили Иракли",Питер.Бестселлеры O`Reilly,2121,2719,22,На складе
PHP и MYSQL. Серверная веб-разработка,Дакетт Джон,Бомбора.Мировой компьютерный бестселлер,2590,3548,27,Предзаказ. Июль
Алгоритмы и структуры данных на Python.  Учебное пособие,Чернышев Станислав Андреевич,Кнорус.Бакалавриат,2644,Нет старого прайса,Нет скидки,Ожидается
,,,0,Нет старого прайса,Нет скидки,
"97 вещей, о которых должен знать каждый Java-программист","Хенни Кевлин, Триша Джи",Бомбора.Мировой компьютерный бестселлер,1013,1388,27,На складе
Безопасность веб-приложений. Исчерпывающий гид для начинающих разработчиков,Янка Таня,Бомбора.КиберБез. Лучшие книги о безопасности в сети,1117,1530,27,На складе
Линейное программирование. Часть 1. Учебное пособие для бакалавриата,Шандра Игорь Георгиевич,Прометей,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Level up! Руководство по созданию классных видеоигр,Роджерс Скотт,Бомбора.Мировой компьютерный бестселлер,1499,2053,27,На складе
Современный С++. Безопасное использование,Лакос Джон и др.,ДМК-Пресс,4900,7539,35,На складе
Модернизация Java Enterprise. Облачные технологии для разработчиков,"Эйзеле Маркус, Винто Натале",Питер.Бестселлеры O`Reilly,2114,2710,22,На складе
Практикум по информатике. Основы алгоритмизации и программирования,Колокольникова Алла Ивановна,Директмедиа Паблишинг,2186,Нет старого прайса,Нет скидки,Ожидается
Введение в программирование. Учебное пособие,Волкова Татьяна Ивановна,Директмедиа Паблишинг,941,Нет старого прайса,Нет скидки,Ожидается
NeoBook. Практикум по быстрому программированию с нуля,Лёвкин Вадим Евгеньевич,Директмедиа Паблишинг,768,1181,35,Ограничено
Ruby для романтиков. Самая простая книга по Ruby с заданиями,Пушкин Роман,ДМК-Пресс,2358,3628,35,На складе
Разработка веб-приложений с Quarkus и React,Марк Нури Сан Феликс,ДМК-Пресс,2540,3908,35,На складе
Разработка приложений с графическим пользовательским интерфейсом на языке Python. Учебное пособие,"Букунов Сергей Витальевич, Букунова Ольга Викторовна",Лань.Компьютеры и программное обеспечение,720,1107,35,Ограничено
Инструментальные средства инфокоммуникационных систем. Теория и практика. Учебное пособие,"Заяц Анатолий Моисеевич, Логачев Алексей Андреевич",Лань.Компьютеры и программное обеспечение,3213,4943,35,На складе
Программирование микропроцессорных систем на языке С-51. Учебное пособие,Микушин Александр Владимирович,Лань.Компьютеры и программное обеспечение,1461,2247,35,Ограничено
Программирование микропроцессорных систем на языке С-51. Учебное пособие для СПО,Микушин Александр Владимирович,Лань.Компьютеры и программное обеспечение,1270,1954,35,На складе
Программирование микропроцессорных систем на языке ASM-51. Учебное пособие для вузов,Микушин Александр Владимирович,Лань.Компьютеры и программное обеспечение,806,Нет старого прайса,Нет скидки,Ожидается
Программирование микропроцессорных систем на языке ASM-51. Учебное пособие для СПО,Микушин Александр Владимирович,Лань.Компьютеры и программное обеспечение,455,700,35,На складе
Математическая теория игр и приложения. Учебное пособие для вузов,Мазалов Владимир Викторович,Лань.Математика,2958,4550,35,На складе
Кодер с улицы. Правила нарушать рекомендуется,Капаноглу Седат,Питер.Библиотека программиста,1972,2528,22,На складе
"Тайная жизнь программ. Как создать код, который понравится вашему компьютеру",Стейнхардт Пол,Питер.Для профессионалов,3333,4273,22,На складе
Readme. Суровые реалии разработчиков,"Риккомини Крис, Рябой Дмитрий",Питер.Библиотека программиста,1915,2455,22,На складе
Алгоритмы. С примерами на Python,Хайнеман Джордж,Питер.Бестселлеры O`Reilly,1972,2528,22,На складе
Разработка игр на языке JavaScript. Учебное пособие,Беляев Сергей Алексеевич,Лань.Компьютеры и программное обеспечение,943,1450,35,На складе
Информационные технологии в инженерных расчетах. SMath и Python. Учебное пособие,Очков Валерий Федорович и др.,Лань.Компьютеры и программное обеспечение,3154,4852,35,На складе
Языки программирования. Python. Решение сложных задач. Учебное пособие для вузов,"Борзунов Сергей Викторович, Кургалин Сергей Дмитриевич",Лань.Компьютеры и программное обеспечение,1979,3044,35,На складе
Языки программирования. Python. Решение сложных задач. Учебное пособие для СПО,Борзунов Сергей Викторович,Лань.Компьютеры и программное обеспечение,1721,2648,35,На складе
Язык и среда программирования R. Учебное пособие,Золотарюк Анатолий Васильевич,ИНФРА-М.Высшее образование,1276,1963,35,Ограничено
Практикум по программированию на PascalABC.NET,Савина Елена Владимировна,Директмедиа Паблишинг,870,Нет старого прайса,Нет скидки,Ожидается
Парадигмы моделирования и программирования задач предметных областей знаний. Монография,Лаврищева Екатерина Михайловна и др.,Директмедиа Паблишинг,2392,Нет старого прайса,Нет скидки,Ожидается
React. Быстрый старт,Стефанов Стоян,Питер.Бестселлеры O`Reilly,1946,Нет старого прайса,Нет скидки,На складе
"Роберт Мартин рекомендует. Код, который умещается в голове. Эвристики для разработчиков",Симан Марк,Питер.Библиотека программиста,2226,Нет старого прайса,Нет скидки,На складе
Python за 7 дней. Краткий курс для начинающих,Парк Эндрю,Питер.Библиотека программиста,1121,1437,22,На складе
Трехмерное глубокое обучение на Python,Ма Ксудонг и др.,ДМК-Пресс,2358,3628,35,На складе
Интеллектуальные обучающие системы на основе интегрированных экспертных систем,Рыбина Галина Валентиновна,Директмедиа Паблишинг,905,Нет старого прайса,Нет скидки,Ожидается
"Программирование, тестирование, проектирование, нейросети, технологии аппаратно-программных средств",Веретехина С. В. и др.,Директмедиа Паблишинг,960,Нет старого прайса,Нет скидки,Ожидается
Цифровизация процессов управления  медико-гигиеническими рисками на производственных предприятиях,Шипилов Игорь Викторович,Наш круг,1583,2435,35,На складе
GPT-3. Руководство по использованию API Open AI,"Кублик Сандра, Сабу Шубхан",ДМК-Пресс,1451,2233,35,На складе
Проектирование информационно-библиотечных систем. Учебник,Рахматуллаев Марат Алимович,ИНФРА-М.Высшее образование,2324,3576,35,На складе
Docker Compose для разработчика,Гадзурас Эммануил,ДМК-Пресс,3349,Нет старого прайса,Нет скидки,Ожидается
Безопасность ASP. NET Core,Венц Кристиан,ДМК-Пресс,3175,4885,35,На складе
Разработка интеллектуальных систем для обработки сигналов с датчиков давления. Монография,Пылов Петр Андреевич и др.,Инфра-Инженерия,1125,1730,35,На складе
Linux. Командная строка. Лучшие практики,Барретт Дэниел Джей,Питер.Бестселлеры O`Reilly,1679,Нет старого прайса,Нет скидки,На складе
"Фундаментальный подход к программной архитектуре. Паттерны, свойства, проверенные методы","Ричардс Марк, Форд Нил",Питер.Для профессионалов,3206,Нет старого прайса,Нет скидки,На складе
Python для data science,Васильев Юлий,Питер.Библиотека программиста,1666,Нет старого прайса,Нет скидки,На складе
Моделирование и анализ в среде R с использованием пакета Shiny. Учебно-методическое пособие,Лукьянов Павел Борисович,Прометей,699,1076,35,На складе
DAX для профессионалов. Теория и практика. Выведи свои аналитические навыки в Microsoft Power BI,"Розема Мишель, Влотман Хенк",ДМК-Пресс,3175,4885,35,На складе
,,,0,Нет старого прайса,Нет скидки,
Django 4 в примерах. Разрабатывайте мощные и надежные веб-приложения на Python с нуля,Меле Антонио,ДМК-Пресс,4536,6979,35,На складе
Введение в автоматизированное машинное обучение (AutoML),Хуттер Франк и др.,ДМК-Пресс,2722,4187,35,На складе
Java. Руководство для начинающих,Шилдт Герберт,Вильямс,3496,5378,35,На складе
Анализ алгоритмов. Активный обучающий подход,Макконнел Джеффри Дж.,Техносфера.Мир программирования,471,725,35,На складе
Технология Java Card для смарт-карт. Архитектура и руководство программиста,Чен Жикун,Техносфера.Мир программирования,296,456,35,На складе
Методы анализа логических корреляций для САПР цифровых КМОП СБИС,Гаврилов Сергей Витальевич,Техносфера.Мир цифровой обработки,251,386,35,На складе
Цифровая обработка сигналов с приложениями для геофизики и экспериментальной механики. Учебник,Гетманов Виктор Григорьевич,Техносфера.Мир цифровой обработки,993,1527,35,На складе
Цифровая обработка изображений,"Гонсалес Рафаэл С., Вудс Ричард Е.",Техносфера.Мир цифровой обработки,1183,1820,35,На складе
Цифровые видеоинформационные системы. Теория и практика,"Дворкович Виктор Павлович, Дворкович Александр Викторович",Техносфера.Мир цифровой обработки,1456,2240,35,На складе
Цифровая обработка сигналов атомарными функциями и вейвлетами,"Кравченко Виктор Филиппович, Чуриков Дмитрий Викторович",Техносфера.Мир цифровой обработки,888,1366,35,На складе
Основы теории цифровой обработки сигналов. Учебное пособие,Умняшкин Сергей Владимирович,Техносфера.Мир цифровой обработки,837,1288,35,На складе
JavaScript с нуля до профи,Свекис Лоренс Ларс и др.,Питер.Библиотека программиста,2268,2908,22,На складе
Python для финансистов,Хилпиш Ив,Питер.Бестселлеры O`Reilly,2030,Нет старого прайса,Нет скидки,На складе
Новые возможности JavaScript. Как написать чистый код по всем правилам современного языка,Краудер Ти Джей,Бомбора.Мировой компьютерный бестселлер,1772,2427,27,На складе
,,,0,Нет старого прайса,Нет скидки,
JavaScript. Креативное программирование. Учебное пособие для вузов,Янцев Валерий Викторович,Лань.Компьютеры и программное обеспечение,2389,3676,35,На складе
JavaScript. Креативное программирование. Учебное пособие,Янцев Валерий Викторович,Лань.Компьютеры и программное обеспечение,2079,3198,35,Ограничено
Машинно-ориентированные языки программирования. Введение в ассемблер. Учебное пособие,Бунаков Павел Юрьевич,Лань.Компьютеры и программное обеспечение,1484,2283,35,На складе
Машинно-ориентированные языки программирования. Введение в ассемблер. Учебное пособие,Бунаков Павел Юрьевич,Лань.Компьютеры и программное обеспечение,1291,1986,35,Ограничено
Программирование. Лабораторный практикум. Учебное пособие,Рацеев Сергей Михайлович,Лань.Компьютеры и программное обеспечение,1072,1649,35,На складе
Программирование. Лабораторный практикум. Учебное пособие,Рацеев Сергей Михайлович,Лань.Компьютеры и программное обеспечение,932,1434,35,На складе
Программирование. Основы Python для инженеров. Учебное пособие для вузов,"Никитина Татьяна Павловна, Королев Леонид Владимирович",Лань.Компьютеры и программное обеспечение,1263,1943,35,Ограничено
Программирование. Основы Python. Учебное пособие для СПО,"Никитина Татьяна Павловна, Королев Леонид Владимирович",Лань.Компьютеры и программное обеспечение,1099,1691,35,Ограничено
Разработка приложений с графическим пользовательским интерфейсом на языке Python. Учебное пособие,"Букунов Сергей Витальевич, Букунова Ольга Викторовна",Лань.Компьютеры и программное обеспечение,641,986,35,Ограничено
C++ для IT-профессий. Учебник,Дирк Харди,Фолиант.Профессиональное образование,2189,Нет старого прайса,Нет скидки,На складе
Java для IT-профессий. Учебник,Дирк Харди,Фолиант.Профессиональное образование,3676,Нет старого прайса,Нет скидки,На складе
Создание микросервисов,Ньюмен Сэм,Питер.Бестселлеры O`Reilly,3010,Нет старого прайса,Нет скидки,На складе
Усовершенствованные структуры данных,Брасс Петер,ДМК-Пресс,3629,5583,35,На складе
Рекурсивная книга о рекурсии,Свейгарт Эл,Питер.Библиотека программиста,2268,2908,22,На складе
MySQL по максимуму,"Ботрос Сильвия, Тинли Джереми",Питер.Бестселлеры O`Reilly,2921,3745,22,На складе
Software. Ошибки и компромиссы при разработке ПО,"Лелек Томаш, Скит Джон",Питер.Библиотека программиста,3262,4182,22,На складе
Python для хакеров. Нетривиальные задачи и проекты,Воган Ли,Питер.Библиотека программиста,1972,2528,22,На складе
Методы линейного программирования,Божко Аркадий Николаевич и др.,Издательство МГТУ им. Н.Э.Баумана,529,814,35,Ограничено
Освоение Lightning Network. Протокол второслойной блочной цепи для мгновенных Bitcoin-платежей,Антонопулос Андреас М. и др.,ДМК-Пресс,3629,5583,35,На складе
Паттерны проектирования API,Гивакс Джей Джей,Питер.Библиотека программиста,3290,Нет старого прайса,Нет скидки,На складе
PostgreSQL 15 изнутри,Рогов Егор Валерьевич,ДМК-Пресс,4885,Нет старого прайса,Нет скидки,Ожидается
Apache Kafka. Потоковая обработка и анализ данных,Шапира Гвен и др.,Питер.Бестселлеры O`Reilly,3045,Нет старого прайса,Нет скидки,На складе
Python и анализ данных,МакКинни Уэс,ДМК-Пресс,3267,5026,35,На складе
Алгоритмы,Эриксон Джефф,ДМК-Пресс,3629,5583,35,На складе
Алгоритмы принятия решений,Кохендерфер Майкл и др.,ДМК-Пресс,4536,6979,35,На складе
Структура и интерпретация классической механики,"Сассман Джеральд Джей, Уиздом Джек",ДМК-Пресс,2722,4187,35,На складе
Идиомы bash,"Олбинг Карл, Фоссен Джей Пи",Питер.Бестселлеры O`Reilly,1417,1817,22,На складе
Алгоритмы биоинформатики,"Компо Филлип, Певзнер Павел",ДМК-Пресс,4355,6700,35,На складе
Предварительная подготовка данных в Python. Том 1. Инструменты и валидация,Груздев Артем Владимирович,ДМК-Пресс,4355,6700,35,На складе
"Предварительная подготовка данных в Python. Том 2. План, примеры и метрики качества",Груздев Артем Владимирович,ДМК-Пресс,4355,6700,35,На складе
Прогнозирование. Принципы и практика,"Хайндман Роб, Атанасопулос Джордж",ДМК-Пресс,3267,5026,35,На складе
Прикладные нейро-нечеткие вычислительные системы и устройства,Бобырь Максим Владимирович и др.,ИНФРА-М.Научная мысль,2097,3226,35,На складе
"Красивый C++. 30 главных правил чистого, безопасного и быстрого кода","Дэвидсон Дж. Гай, Грегори Кейт",Питер.Для профессионалов,2786,Нет старого прайса,Нет скидки,На складе
Глубокое обучение с R и KERAS,Шолле Франсуа,ДМК-Пресс,3629,5583,35,На складе
Power BI. Передовые методы оптимизации,Мерчант Бхавик,ДМК-Пресс,2540,3908,35,На складе
"Разработка веб-приложений GraphQL с React, Node.js и Neo4j",Лион Уильям,ДМК-Пресс,2722,4187,35,На складе
Основы алгоритмизации и программирования на Python. Учебное пособие,Гуриков Сергей Ростиславович,ИНФРА-М.Высшее образование. Бакалавриат,3478,5350,35,На складе
Unity в действии. Мультиплатформенная разработка на C#,Хокинг Джозеф,Питер.Для профессионалов,2070,2654,22,На складе
Объекты. Стильное ООП,Нобак Маттиас,Питер.Библиотека программиста,2086,Нет старого прайса,Нет скидки,На складе
Kafka Streams и ksqlDB. Данные в реальном времени,Сеймур Митч,Питер.Библиотека программиста,2397,3073,22,На складе
Алгоритмы на практике. Решение реальных задач,Зингаро Даниэль,Питер.Библиотека программиста,2030,Нет старого прайса,Нет скидки,На складе
Современная программная инженерия. ПО в эпоху эджайла и непрерывного развертывания,Фарли Дэвид,Питер.Для профессионалов,2310,Нет старого прайса,Нет скидки,На складе
Внутри Cpython. Гид по интерпретатору Python,Шоу Энтони,Питер.Библиотека программиста,1946,Нет старого прайса,Нет скидки,На складе
"40 алгоритмов, которые должен знать каждый программист на Python",Ахмад Имран,Питер.Библиотека программиста,1925,Нет старого прайса,Нет скидки,На складе
,,,0,Нет старого прайса,Нет скидки,
Грокаем функциональное мышление,Норманд Эрик,Питер.Библиотека программиста,2519,Нет старого прайса,Нет скидки,На складе
Структуры данных в С++. Учебное пособие,"Русакова Зинаида Николаевна, Рудаков Игорь Владимирович",Издательство МГТУ им. Н.Э.Баумана,529,814,35,На складе
Основы Python для Data Science,Берман Кеннеди,Питер.Библиотека программиста,2086,Нет старого прайса,Нет скидки,На складе
Фундаментальные основы хакерства. Анализ программ в среде Win64,"Касперски Крис, Язев Юрий Евгеньевич",Солон-пресс.Программирование,3450,5307,35,На складе
Основы компьютерного моделирования и визуализации + Электронное приложение,Борзяк Андрей Александрович и др.,Лань.Компьютеры и программное обеспечение,4903,7543,35,На складе
UX/UI дизайн для создания идеального продукта. Полный и исчерпывающий гид,Шуваев Ярослав Александрович,Бомбора.Библиотека цифровой трансформации,1316,1803,27,На складе
Грокаем алгоритмы искусственного интеллекта,Харбанс Ришал,Питер.Библиотека программиста,1708,Нет старого прайса,Нет скидки,На складе
Сделай видеоигру один и не свихнись,Грис Слава,АСТ.Видеоигры: глубокое погружение,669,916,27,На складе
Программирование в Unreal Engine 5 для начинающего игродела. Основы визуального языка Blueprint,"Максименкова Ольга Вениаминовна, Веселко Никита И.",Бомбора.Российский компьютерный бестселлер,1862,2551,27,На складе
C# 10 и .NET 6. Современная кросс-платформенная разработка,Прайс Марк Дж.,Питер.Для профессионалов,4746,Нет старого прайса,Нет скидки,На складе
Computer Science для программиста-самоучки. Все что нужно знать о структурах данных и алгоритмах,Альтхофф Кори,Питер.Библиотека программиста,1393,Нет старого прайса,Нет скидки,На складе
Непрерывное развитие API. Правильные решения в изменчивом технологическом ландшафте,Меджуи Мехди и др.,Питер.Бестселлеры O`Reilly,3795,4865,22,На складе
Head First. Изучаем Swift,"Мэннинг Джон, Баттфилд-Эддисон Пэрис",Питер.Head First (O'Reilly),2807,3599,22,На складе
Kubernetes изнутри,"Вьяс Джей, Лав Крис",ДМК-Пресс,2722,4187,35,На складе
С++ 20 в деталях,Райнер Гримм,ДМК-Пресс,3267,5026,35,На складе
"Математические алгоритмы для программистов. 3D-графика, машинное обучение и моделирование на Python",Орланд Пол,Питер.Библиотека программиста,3430,Нет старого прайса,Нет скидки,На складе
,,,0,Нет старого прайса,Нет скидки,
Pandas в действии,Пасхавер Борис,Питер.Библиотека программиста,2738,3510,22,На складе
JavaScript и PHP. Content management system + Электронное приложение. Учебное пособие,Янцев Валерий Викторович,Лань.Компьютеры и программное обеспечение,2453,3774,35,На складе
Цифровая обработка изображений в OpenCv. Практикум. Учебное пособие,Матвеев Александр Иванович,Лань.Компьютеры и программное обеспечение,1508,Нет старого прайса,Нет скидки,Ожидается
JavaScript и PHP. Content management system + Электронное приложение. Учебное пособие,Янцев Валерий Викторович,Лань.Компьютеры и программное обеспечение,2453,3774,35,Ограничено
Алгоритмы и программы. Язык С++. Учебное пособие,"Конова Елена Александровна, Поллак Галина Андреевна",Лань.Учебники для вузов. Специальная литература,2429,3737,35,На складе
Java. Полное руководство,Шилдт Герберт,Вильямс,4427,6810,35,На складе
JavaScript для начинающих,МакГрат Майк,Бомбора.Мировой компьютерный бестселлер (обложка),965,1322,27,На складе
Интерактивные дашборды и приложения с Plotly и Dash. Используем полноценный веб-фреймворк в Python,Дабасс Элиас,ДМК-Пресс,2358,3628,35,На складе
Kotlin. Программирование для профессионалов,Скин Джош и др.,Питер.Для профессионалов,2859,3665,22,На складе
Тестирование JavaScript,Коста Лукас да,Питер.Библиотека программиста,2547,3265,22,На складе
Программируем на Java,Лой Марк и др.,Питер.Бестселлеры O`Reilly,2836,3636,22,На складе
"Web-аппликации в интернет-маркетинге. Проектирование, создание и применение. Практическое пособие","Винарский Яков Самуилович, Гутгарц Римма Давыдовна",ИНФРА-М.Среднее профессиональное образование,2123,3266,35,Ограничено
Введение в программную инженерию. Учебник,Антипов Владимир Анатольевич и др.,ИНФРА-М,2621,4032,35,Ограничено
Asyncio и конкурентное программирование на Python,Фаулер Мэттью,ДМК-Пресс,3085,4746,35,На складе
Создай свой собственный язык программирования. Руководство программиста по разработке компиляторов,Джеффери Клинтон Л.,ДМК-Пресс,2812,4326,35,На складе
Учимся рисовать на компьютере кодом p5.js,"Розанов Андрей Николаевич, Жуков Кирилл Леонидович",ДМК-Пресс,1815,2793,35,На складе
Основы теории интеллектуального управления энергосберегающими режимами. Учебное пособие,"Поляков Анатолий Евгеньевич, Иванов Максим Сергеевич",Лань,4576,7040,35,На складе
Система контроля версий. Основы командной разработки. Учебное пособие,"Васильева Марина Алексеевна, Филипченко Константин Михайлович",Лань.Компьютеры и программное обеспечение,4576,7040,35,Ограничено
Разработка программного тренажера в среде многоагентного моделирования NetLogo. Учебное пособие,Исхаков Алмаз Раилевич,Лань.Компьютеры и программное обеспечение,3596,5532,35,Ограничено
Эффективное тестирование программного обеспечения,Аниче Маурисио,ДМК-Пресс,3267,5026,35,На складе
Введение в кроссплатформенное программирование на С++ в Qt,,RUGRAM.Нобель Пресс,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Глубокое обучение на Python,Шолле Франсуа,Питер.Библиотека программиста,2823,3619,22,На складе
Микропроцессорные системы. Применение микроконтроллеров семейства AVR для управления внешними устр.,Сонькин Михаил Аркадьевич и др.,Инфра-Инженерия,888,1366,35,На складе
Основы визуального программирования в среде Visual Studio на базе C#,Мартыненко Татьяна Владимировна и др.,Инфра-Инженерия,1113,1712,35,На складе
Пять строк кода. Роберт Мартин рекомендует,Клаусен Кристиан,Питер.Библиотека программиста,1701,2181,22,На складе
Python. Исчерпывающее руководство,Бизли Дэвид,Питер.Для профессионалов,2240,2872,22,На складе
Практикум по анализу данных на языках Python и R. Учебное пособие,Баюк Олег Александрович и др.,Прометей,612,941,35,На складе
Знакомство с Python,Бейдер Дэн и др.,Питер.Библиотека программиста,2114,Нет старого прайса,Нет скидки,На складе
Теория и практика программирования на языке Pascal,"Расолько Галина Алексеевна, Кремень Юрий Алексеевич",Вышэйшая школа,13686,21056,35,Ограничено
"Искусственный интеллект и компьютерное зрение. Реальные проекты на Python, Keras и TensorFlow",Коул Анирад и др.,Питер.Бестселлеры O`Reilly,3787,4855,22,На складе
Грокаем стриминг,"Фишер Джош, Ван Нин",Питер.Библиотека программиста,1702,2182,22,На складе
Высокопроизводительные Python-приложения. Практическое руководство по эффективному программированию,"Горелик Миша, Йен Освальд",Бомбора.Мировой компьютерный бестселлер (обложка),1590,2178,27,На складе
Проектирование и разработка интерфейсов пользователя. Учебное пособие. ФГОС СПО,"Шитов Виктор Николаевич, Успенский Кирилл Евгеньевич",Кнорус.Среднее профессиональное образование,1719,2644,35,Ограничено
"JavaScript. Картинки, галереи, слайдеры. Учебное пособие для вузов",Янцев Валерий Викторович,Лань.Компьютеры и программное обеспечение,3269,5029,35,На складе
"JavaScript. Картинки, галереи, слайдеры. Учебное пособие для СПО",Янцев Валерий Викторович,Лань.Компьютеры и программное обеспечение,3269,5029,35,На складе
Entity Framework Core в действии,Смит Джон П.,ДМК-Пресс,3629,5583,35,На складе
API в разработке приложений Autodesk Inventor. Практическое руководство,Дюймовский Пайни,Инфра-Инженерия,2413,3713,35,На складе
Python без проблем. Решаем реальные задачи и пишем полезный код,Зингаро Даниэль,Питер.Библиотека программиста,1618,2074,22,На складе
"Создаем динамические веб-сайты с помощью PHP, MySQL, JavaScript, CSS и HTML5",Никсон Робин,Питер.Бестселлеры O`Reilly,2786,Нет старого прайса,Нет скидки,На складе
Кибердзюцу. Кибербезопасность для современных ниндзя,Маккарти Бен,Питер.Библиотека программиста,1845,2365,22,На складе
Black Hat Go. Программирование для хакеров и пентестеров,Коттманн Дэн и др.,Питер.Библиотека программиста,2511,3219,22,На складе
Алгоритмы неформально. Инструкция для начинающих питонистов,Брэдфорд Такфилд,Питер.Библиотека программиста,1417,1817,22,На складе
Разработка интерфейсов. Паттерны проектирования,Тидвелл Дженифер и др.,Питер.Бестселлеры O`Reilly,2766,3546,22,На складе
Компьютерные системы. Архитектура и программирование,"Брайант Рэндал Э., О`Халларон Дэвид",ДМК-Пресс,4536,6979,35,На складе
Spring быстро,Спилкэ Лауренциу,Питер,2836,3636,22,На складе
Kali Linux. Библия пентестера,Хаваджа Гас,Питер.Для профессионалов,4241,5437,22,На складе
,,,0,Нет старого прайса,Нет скидки,
Теория автоматического управления в примерах и задачах с решениями в MATLAB. Учебное пособие,Гайдук Анатолий Романович и др.,Лань.Учебники для вузов. Специальная литература,3876,5963,35,На складе
Основы программирования. Учебник,Шеина Татьяна Юрьевна,Лань.Компьютеры и программное обеспечение,2126,3270,35,На складе
Разработка мобильных приложений. Учебник,Коржинский Сергей Николавеич,Кнорус.Среднее профессиональное образование,1850,2846,35,Ограничено
Scala. Профессиональное программирование,Одерски Мартин и др.,Питер.Библиотека программиста,5659,7255,22,Ограничено
